oid;purl;iiif
ph299bg5284;http://purl.stanford.edu/ph299bg5284;https://stacks.stanford.edu/image/iiif/ph299bg5284/ph299bg5284_00_0001
qq146kj4438;http://purl.stanford.edu/qq146kj4438;https://stacks.stanford.edu/image/iiif/qq146kj4438/qq146kj4438_00_0001
wq528jb3193;http://purl.stanford.edu/wq528jb3193;https://stacks.stanford.edu/image/iiif/wq528jb3193/wq528jb3193_00_0001
ps095dc8989;http://purl.stanford.edu/ps095dc8989;https://stacks.stanford.edu/image/iiif/ps095dc8989/ps095dc8989_00_0001
qr131gj9716;http://purl.stanford.edu/qr131gj9716;https://stacks.stanford.edu/image/iiif/qr131gj9716/qr131gj9716_00_0001
sh396my9234;http://purl.stanford.edu/sh396my9234;https://stacks.stanford.edu/image/iiif/sh396my9234/sh396my9234_00_0001
ww637df6344;http://purl.stanford.edu/ww637df6344;https://stacks.stanford.edu/image/iiif/ww637df6344/ww637df6344_00_0001
sc758qq3548;http://purl.stanford.edu/sc758qq3548;https://stacks.stanford.edu/image/iiif/sc758qq3548/sc758qq3548_00_0001
pn471xx3268;http://purl.stanford.edu/pn471xx3268;https://stacks.stanford.edu/image/iiif/pn471xx3268/pn471xx3268_00_0001
mk997gg8525;http://purl.stanford.edu/mk997gg8525;https://stacks.stanford.edu/image/iiif/mk997gg8525/mk997gg8525_00_0001
zv410nb2638;http://purl.stanford.edu/zv410nb2638;https://stacks.stanford.edu/image/iiif/zv410nb2638/zv410nb2638_00_0001
fy996dk0689;http://purl.stanford.edu/fy996dk0689;https://stacks.stanford.edu/image/iiif/fy996dk0689/fy996dk0689_00_0001
sf845jg4164;http://purl.stanford.edu/sf845jg4164;https://stacks.stanford.edu/image/iiif/sf845jg4164/sf845jg4164_00_0001
ff719wt4741;http://purl.stanford.edu/ff719wt4741;https://stacks.stanford.edu/image/iiif/ff719wt4741/ff719wt4741_00_0001
gx341rd2962;http://purl.stanford.edu/gx341rd2962;https://stacks.stanford.edu/image/iiif/gx341rd2962/gx341rd2962_00_0001
tw196tn3980;http://purl.stanford.edu/tw196tn3980;https://stacks.stanford.edu/image/iiif/tw196tn3980/tw196tn3980_00_0001
wx843rc4982;http://purl.stanford.edu/wx843rc4982;https://stacks.stanford.edu/image/iiif/wx843rc4982/wx843rc4982_00_0001
nt903sp1078;http://purl.stanford.edu/nt903sp1078;https://stacks.stanford.edu/image/iiif/nt903sp1078/nt903sp1078_00_0001
gx447nv1382;http://purl.stanford.edu/gx447nv1382;https://stacks.stanford.edu/image/iiif/gx447nv1382/gx447nv1382_00_0001
dd234gg4786;http://purl.stanford.edu/dd234gg4786;https://stacks.stanford.edu/image/iiif/dd234gg4786/dd234gg4786_00_0001
vn744qg7716;http://purl.stanford.edu/vn744qg7716;https://stacks.stanford.edu/image/iiif/vn744qg7716/vn744qg7716_00_0001
xs204pr2939;http://purl.stanford.edu/xs204pr2939;https://stacks.stanford.edu/image/iiif/xs204pr2939/xs204pr2939_00_0001
yf761pm1174;http://purl.stanford.edu/yf761pm1174;https://stacks.stanford.edu/image/iiif/yf761pm1174/yf761pm1174_00_0001
nh074mg3020;http://purl.stanford.edu/nh074mg3020;https://stacks.stanford.edu/image/iiif/nh074mg3020/nh074mg3020_00_0001
gy024nh9204;http://purl.stanford.edu/gy024nh9204;https://stacks.stanford.edu/image/iiif/gy024nh9204/gy024nh9204_00_0001
mz023zs1192;http://purl.stanford.edu/mz023zs1192;https://stacks.stanford.edu/image/iiif/mz023zs1192/mz023zs1192_00_0001
nr369fm8489;http://purl.stanford.edu/nr369fm8489;https://stacks.stanford.edu/image/iiif/nr369fm8489/nr369fm8489_00_0001
vd420js0307;http://purl.stanford.edu/vd420js0307;https://stacks.stanford.edu/image/iiif/vd420js0307/vd420js0307_00_0001
jb358cy7315;http://purl.stanford.edu/jb358cy7315;https://stacks.stanford.edu/image/iiif/jb358cy7315/jb358cy7315_00_0001
ry529fz2101;http://purl.stanford.edu/ry529fz2101;https://stacks.stanford.edu/image/iiif/ry529fz2101/ry529fz2101_00_0001
wh259wk1947;http://purl.stanford.edu/wh259wk1947;https://stacks.stanford.edu/image/iiif/wh259wk1947/wh259wk1947_00_0001
ms114ff9645;http://purl.stanford.edu/ms114ff9645;https://stacks.stanford.edu/image/iiif/ms114ff9645/ms114ff9645_00_0001
ps660fn8789;http://purl.stanford.edu/ps660fn8789;https://stacks.stanford.edu/image/iiif/ps660fn8789/ps660fn8789_00_0001
bj513rz6780;http://purl.stanford.edu/bj513rz6780;https://stacks.stanford.edu/image/iiif/bj513rz6780/bj513rz6780_00_0001
dw736kj0912;http://purl.stanford.edu/dw736kj0912;https://stacks.stanford.edu/image/iiif/dw736kj0912/dw736kj0912_00_0001
hp111gs7027;http://purl.stanford.edu/hp111gs7027;https://stacks.stanford.edu/image/iiif/hp111gs7027/hp111gs7027_00_0001
jq796vt2845;http://purl.stanford.edu/jq796vt2845;https://stacks.stanford.edu/image/iiif/jq796vt2845/jq796vt2845_00_0001
pt232ny4527;http://purl.stanford.edu/pt232ny4527;https://stacks.stanford.edu/image/iiif/pt232ny4527/pt232ny4527_00_0001
fc275bp1442;http://purl.stanford.edu/fc275bp1442;https://stacks.stanford.edu/image/iiif/fc275bp1442/fc275bp1442_00_0001
jx151dp8705;http://purl.stanford.edu/jx151dp8705;https://stacks.stanford.edu/image/iiif/jx151dp8705/jx151dp8705_00_0001
vr639qk0236;http://purl.stanford.edu/vr639qk0236;https://stacks.stanford.edu/image/iiif/vr639qk0236/vr639qk0236_00_0001
mc047qv8214;http://purl.stanford.edu/mc047qv8214;https://stacks.stanford.edu/image/iiif/mc047qv8214/mc047qv8214_00_0001
rp622km2040;http://purl.stanford.edu/rp622km2040;https://stacks.stanford.edu/image/iiif/rp622km2040/rp622km2040_00_0001
hx450wp2516;http://purl.stanford.edu/hx450wp2516;https://stacks.stanford.edu/image/iiif/hx450wp2516/hx450wp2516_00_0001
tg272qf7632;http://purl.stanford.edu/tg272qf7632;https://stacks.stanford.edu/image/iiif/tg272qf7632/tg272qf7632_00_0001
ft528vv5105;http://purl.stanford.edu/ft528vv5105;https://stacks.stanford.edu/image/iiif/ft528vv5105/ft528vv5105_00_0001
kq205sv4014;http://purl.stanford.edu/kq205sv4014;https://stacks.stanford.edu/image/iiif/kq205sv4014/kq205sv4014_00_0001
