sheet_serie_id	sub_id	canvas_label	iiif_url	uuid	list_idx	poly_wkt	sheet_id
1	W	Canvas 2	https://dlc.services/iiif-img/7/32/6de22dd5-9ab0-4b00-9195-8a1dbbd91b93/full/!1024,1024/0/default.jpg	6de22dd5-9ab0-4b00-9195-8a1dbbd91b93	0	POLYGON((140000 587500, 160000 587500, 160000 612500, 140000 612500, 140000 587500))	81
1	O	Canvas 1	https://dlc.services/iiif-img/7/32/f6aaf498-87a5-45e3-b47c-e8b299c2bf94/full/!1024,1024/0/default.jpg	f6aaf498-87a5-45e3-b47c-e8b299c2bf94	1	POLYGON((170500 600000, 190500 600000, 190500 625000, 170500 625000, 170500 600000))	8
2	W	Canvas 4	https://dlc.services/iiif-img/7/32/b20482f2-2cb7-4d59-a423-f16a607713dc/full/!1024,1024/0/default.jpg	b20482f2-2cb7-4d59-a423-f16a607713dc	2	POLYGON((180000 600000, 200000 600000, 200000 625000, 180000 625000, 180000 600000))	74
2	O	Canvas 3	https://dlc.services/iiif-img/7/32/625cd690-3876-4b8a-8d49-05d470de6fb7/full/!1024,1024/0/default.jpg	625cd690-3876-4b8a-8d49-05d470de6fb7	3	POLYGON((200000 600000, 220000 600000, 220000 625000, 200000 625000, 200000 600000))	73
3	W	Canvas 6	https://dlc.services/iiif-img/7/32/441bf962-959a-472c-8e0a-bff25399b42b/full/!1024,1024/0/default.jpg	441bf962-959a-472c-8e0a-bff25399b42b	4	POLYGON((220000 600000, 240000 600000, 240000 625000, 220000 625000, 220000 600000))	83
3	O	Canvas 5	https://dlc.services/iiif-img/7/32/0b14025b-49d4-4a17-a670-579e28ccf0a8/full/!1024,1024/0/default.jpg	0b14025b-49d4-4a17-a670-579e28ccf0a8	5	POLYGON((240000 600000, 260000 600000, 260000 625000, 240000 625000, 240000 600000))	82
4		Canvas 7	https://dlc.services/iiif-img/7/32/4fe88307-68c1-43d8-a7c4-9afcd877c6fa/full/!1024,1024/0/default.jpg	4fe88307-68c1-43d8-a7c4-9afcd877c6fa	6	POLYGON((116000 575000, 136000 575000, 136000 600000, 116000 600000, 116000 575000))	92
5	W	Canvas 9	https://dlc.services/iiif-img/7/32/098aee9e-b8a0-4879-8e33-771d2f64c872/full/!1024,1024/0/default.jpg	098aee9e-b8a0-4879-8e33-771d2f64c872	7	POLYGON((140000 562500, 160000 562500, 160000 587500, 140000 587500, 140000 562500))	43
5	O	Canvas 8	https://dlc.services/iiif-img/7/32/84b2aa87-6e4b-4df9-b149-a03cf7d2b2b4/full/!1024,1024/0/default.jpg	84b2aa87-6e4b-4df9-b149-a03cf7d2b2b4	8	POLYGON((160000 575000, 180000 575000, 180000 600000, 160000 600000, 160000 575000))	42
6	W	Canvas 11	https://dlc.services/iiif-img/7/32/c27e1f45-e46d-4075-b7bb-fe00d9978b4d/full/!1024,1024/0/default.jpg	c27e1f45-e46d-4075-b7bb-fe00d9978b4d	9	POLYGON((180000 575000, 200000 575000, 200000 600000, 180000 600000, 180000 575000))	52
6	O	Canvas 10	https://dlc.services/iiif-img/7/32/18ac521e-25ce-4269-b842-b05f61e6c3d6/full/!1024,1024/0/default.jpg	18ac521e-25ce-4269-b842-b05f61e6c3d6	10	POLYGON((200000 575000, 220000 575000, 220000 600000, 200000 600000, 200000 575000))	51
7	W	Canvas 13	https://dlc.services/iiif-img/7/32/d5529e6c-dcd6-49c8-be05-b09a7ddf1a0f/full/!1024,1024/0/default.jpg	d5529e6c-dcd6-49c8-be05-b09a7ddf1a0f	11	POLYGON((220000 575000, 240000 575000, 240000 600000, 220000 600000, 220000 575000))	39
7	O	Canvas 12	https://dlc.services/iiif-img/7/32/4a818443-cbcb-4a5a-b3e6-c4f957973efa/full/!1024,1024/0/default.jpg	4a818443-cbcb-4a5a-b3e6-c4f957973efa	12	POLYGON((240000 575000, 260000 575000, 260000 600000, 240000 600000, 240000 575000))	38
8		Canvas 14	https://dlc.services/iiif-img/7/32/90515128-a002-4272-9e6c-9568e23bfcd2/full/!1024,1024/0/default.jpg	90515128-a002-4272-9e6c-9568e23bfcd2	13	POLYGON((260000 575000, 280000 575000, 280000 600000, 260000 600000, 260000 575000))	61
9		Canvas 15	https://dlc.services/iiif-img/7/32/c6cabf77-8f58-408c-8e99-f13d0317417d/full/!1024,1024/0/default.jpg	c6cabf77-8f58-408c-8e99-f13d0317417d	14	POLYGON((104500 550000, 124500 550000, 124500 575000, 104500 575000, 104500 550000))	27
10	W	Canvas 17	https://dlc.services/iiif-img/7/32/420e3b73-b192-4ac9-a344-1caa2521280a/full/!1024,1024/0/default.jpg	420e3b73-b192-4ac9-a344-1caa2521280a	15	POLYGON((140000 537500, 160000 537500, 160000 562500, 140000 562500, 140000 537500))	78
10	O	Canvas 16	https://dlc.services/iiif-img/7/32/260f2efc-7a37-4dda-a5f5-132df0ba0af4/full/!1024,1024/0/default.jpg	260f2efc-7a37-4dda-a5f5-132df0ba0af4	16	POLYGON((160000 550000, 180000 550000, 180000 575000, 160000 575000, 160000 550000))	77
11	W	Canvas 19	https://dlc.services/iiif-img/7/32/6b0511b4-d1a8-44cf-9da7-2295b9a93ed8/full/!1024,1024/0/default.jpg	6b0511b4-d1a8-44cf-9da7-2295b9a93ed8	17	POLYGON((180000 550000, 200000 550000, 200000 575000, 180000 575000, 180000 550000))	47
11	O	Canvas 18	https://dlc.services/iiif-img/7/32/8f251532-8c01-4f7f-bfd8-8d48c35c21f4/full/!1024,1024/0/default.jpg	8f251532-8c01-4f7f-bfd8-8d48c35c21f4	18	POLYGON((200000 550000, 220000 550000, 220000 575000, 200000 575000, 200000 550000))	46
12	W	Canvas 21	https://dlc.services/iiif-img/7/32/9f0f9f0b-b8b3-4282-91ff-b664337f9315/full/!1024,1024/0/default.jpg	9f0f9f0b-b8b3-4282-91ff-b664337f9315	19	POLYGON((220000 550000, 240000 550000, 240000 575000, 220000 575000, 220000 550000))	16
12	O	Canvas 20	https://dlc.services/iiif-img/7/32/afc53df4-f230-446f-a4c1-456a456e5d95/full/!1024,1024/0/default.jpg	afc53df4-f230-446f-a4c1-456a456e5d95	20	POLYGON((240000 550000, 260000 550000, 260000 575000, 240000 575000, 240000 550000))	15
13		Canvas 22	https://dlc.services/iiif-img/7/32/8f84f0d0-f3ba-4c04-9173-1299b4f4c21e/full/!1024,1024/0/default.jpg	8f84f0d0-f3ba-4c04-9173-1299b4f4c21e	21	POLYGON((260000 550000, 280000 550000, 280000 575000, 260000 575000, 260000 550000))	21
14	W	Canvas 24	https://dlc.services/iiif-img/7/32/c544e4c5-9423-4357-bf14-d62f43e5fbc7/full/!1024,1024/0/default.jpg	c544e4c5-9423-4357-bf14-d62f43e5fbc7	22	POLYGON((100000 525000, 120000 525000, 120000 550000, 100000 550000, 100000 525000))	55
14	O	Canvas 23	https://dlc.services/iiif-img/7/32/7231cf12-fbfd-4368-af01-ff4257fc4e6f/full/!1024,1024/0/default.jpg	7231cf12-fbfd-4368-af01-ff4257fc4e6f	23	POLYGON((120000 525000, 140000 525000, 140000 550000, 120000 550000, 120000 525000))	54
15	O	Canvas 25	https://dlc.services/iiif-img/7/32/ee5ae533-ee5b-4f77-a950-ec87f62769f9/full/!1024,1024/0/default.jpg	ee5ae533-ee5b-4f77-a950-ec87f62769f9	24	POLYGON((140000 512500, 160000 512500, 160000 537500, 140000 537500, 140000 512500))	0
15	W	Canvas 26	https://dlc.services/iiif-img/7/32/cc014ff5-8a96-4ec5-a26e-e86a1509f4fa/full/!1024,1024/0/default.jpg	cc014ff5-8a96-4ec5-a26e-e86a1509f4fa	25	POLYGON((160000 525000, 180000 525000, 180000 550000, 160000 550000, 160000 525000))	53
16	W	Canvas 28	https://dlc.services/iiif-img/7/32/87a62767-7099-4786-a3ee-6431dbb59492/full/!1024,1024/0/default.jpg	87a62767-7099-4786-a3ee-6431dbb59492	26	POLYGON((180000 525000, 200000 525000, 200000 550000, 180000 550000, 180000 525000))	80
16	O	Canvas 27	https://dlc.services/iiif-img/7/32/413a4098-89a3-4b35-9fe4-0238241f74eb/full/!1024,1024/0/default.jpg	413a4098-89a3-4b35-9fe4-0238241f74eb	27	POLYGON((200000 525000, 220000 525000, 220000 550000, 200000 550000, 200000 525000))	79
17	W	Canvas 30	https://dlc.services/iiif-img/7/32/717de2cb-6ff8-483d-b6b4-e32aa3669557/full/!1024,1024/0/default.jpg	717de2cb-6ff8-483d-b6b4-e32aa3669557	28	POLYGON((220000 525000, 240000 525000, 240000 550000, 220000 550000, 220000 525000))	18
17	O	Canvas 29	https://dlc.services/iiif-img/7/32/1c76ebcc-bf80-4a1c-b72f-81f339cb67c0/full/!1024,1024/0/default.jpg	1c76ebcc-bf80-4a1c-b72f-81f339cb67c0	29	POLYGON((240000 525000, 260000 525000, 260000 550000, 240000 550000, 240000 525000))	17
18		Canvas 31	https://dlc.services/iiif-img/7/32/6a57ca42-e304-4f6f-9ae5-1821e8bcff4d/full/!1024,1024/0/default.jpg	6a57ca42-e304-4f6f-9ae5-1821e8bcff4d	30	POLYGON((260000 525000, 280000 525000, 280000 550000, 260000 550000, 260000 525000))	66
19	W	Canvas 33	https://dlc.services/iiif-img/7/32/57aca5c6-7719-4c23-a2aa-7b646dcb0706/full/!1024,1024/0/default.jpg	57aca5c6-7719-4c23-a2aa-7b646dcb0706	31	POLYGON((100000 500000, 120000 500000, 120000 525000, 100000 525000, 100000 500000))	5
19	O	Canvas 32	https://dlc.services/iiif-img/7/32/6744bbcf-ff3d-43cf-b7b9-ecf69435ded8/full/!1024,1024/0/default.jpg	6744bbcf-ff3d-43cf-b7b9-ecf69435ded8	32	POLYGON((120000 500000, 140000 500000, 140000 525000, 120000 525000, 120000 500000))	4
20		Canvas 34	https://dlc.services/iiif-img/7/32/9904bd27-2bb7-46ef-8a52-3c4c258b4947/full/!1024,1024/0/default.jpg	9904bd27-2bb7-46ef-8a52-3c4c258b4947	33	POLYGON((160000 500000, 180000 500000, 180000 525000, 160000 525000, 160000 500000))	84
21	W	Canvas 36	https://dlc.services/iiif-img/7/32/0e10f5df-c720-4e36-b63d-971a60b7669c/full/!1024,1024/0/default.jpg	0e10f5df-c720-4e36-b63d-971a60b7669c	34	POLYGON((180000 500000, 200000 500000, 200000 525000, 180000 525000, 180000 500000))	100
21	O	Canvas 35	https://dlc.services/iiif-img/7/32/296f0051-e9a6-4113-a3ed-d0a0808d23ea/full/!1024,1024/0/default.jpg	296f0051-e9a6-4113-a3ed-d0a0808d23ea	35	POLYGON((200000 500000, 220000 500000, 220000 525000, 200000 525000, 200000 500000))	99
22	W	Canvas 38	https://dlc.services/iiif-img/7/32/0e3790f6-5fbe-434d-8d62-95b3017772a0/full/!1024,1024/0/default.jpg	0e3790f6-5fbe-434d-8d62-95b3017772a0	36	POLYGON((220000 500000, 240000 500000, 240000 525000, 220000 525000, 220000 500000))	26
22	O	Canvas 37	https://dlc.services/iiif-img/7/32/2fbeea4e-d4b5-419a-83bc-e1ac4c945db4/full/!1024,1024/0/default.jpg	2fbeea4e-d4b5-419a-83bc-e1ac4c945db4	37	POLYGON((240000 500000, 260000 500000, 260000 525000, 240000 525000, 240000 500000))	25
23		Canvas 39	https://dlc.services/iiif-img/7/32/586f5e1c-83c1-4a27-902a-9b5170cd431d/full/!1024,1024/0/default.jpg	586f5e1c-83c1-4a27-902a-9b5170cd431d	38	POLYGON((260000 500000, 280000 500000, 280000 525000, 260000 525000, 260000 500000))	60
24		Canvas 40	https://dlc.services/iiif-img/7/32/1ff6b839-8af9-42f7-99d2-e0045f64616b/full/!1024,1024/0/default.jpg	1ff6b839-8af9-42f7-99d2-e0045f64616b	39	POLYGON((81000 475000, 101000 475000, 101000 500000, 81000 500000, 81000 475000))	49
25	W	Canvas 42	https://dlc.services/iiif-img/7/32/1ee28e95-4a63-4fb5-84fd-698f1c0c9432/full/!1024,1024/0/default.jpg	1ee28e95-4a63-4fb5-84fd-698f1c0c9432	40	POLYGON((100000 475000, 120000 475000, 120000 500000, 100000 500000, 100000 475000))	12
25	O	Canvas 41	https://dlc.services/iiif-img/7/32/8a631a42-74ba-4a75-a22e-ec314d7e641c/full/!1024,1024/0/default.jpg	8a631a42-74ba-4a75-a22e-ec314d7e641c	41	POLYGON((120000 475000, 140650 475000, 140650 500000, 120000 500000, 120000 475000))	11
26	W	Canvas 44	https://dlc.services/iiif-img/7/32/347eaabb-177f-4756-9d76-d742970b84cb/full/!1024,1024/0/default.jpg	347eaabb-177f-4756-9d76-d742970b84cb	42	POLYGON((140000 475000, 160000 475000, 160000 500000, 140000 500000, 140000 475000))	41
26	O	Canvas 43	https://dlc.services/iiif-img/7/32/98cb41e5-2877-4498-aa1f-7e6b58340ad4/full/!1024,1024/0/default.jpg	98cb41e5-2877-4498-aa1f-7e6b58340ad4	43	POLYGON((160000 474750, 180000 474750, 180000 500000, 160000 500000, 160000 474750))	40
27	W	Canvas 46	https://dlc.services/iiif-img/7/32/5ad8c5e3-4d05-478c-b720-616a34eb5c4b/full/!1024,1024/0/default.jpg	5ad8c5e3-4d05-478c-b720-616a34eb5c4b	44	POLYGON((180000 475000, 200000 475000, 200000 500000, 180000 500000, 180000 475000))	45
27	O	Canvas 45	https://dlc.services/iiif-img/7/32/90d92b52-c415-41f6-916d-cf2a38d6eeee/full/!1024,1024/0/default.jpg	90d92b52-c415-41f6-916d-cf2a38d6eeee	45	POLYGON((200000 475000, 220000 475000, 220000 500000, 200000 500000, 200000 475000))	44
28	W	Canvas 48	https://dlc.services/iiif-img/7/32/ea02c394-e91c-4b05-b344-7d0d027720c4/full/!1024,1024/0/default.jpg	ea02c394-e91c-4b05-b344-7d0d027720c4	46	POLYGON((220000 475000, 240000 475000, 240000 500000, 220000 500000, 220000 475000))	7
28	O	Canvas 47	https://dlc.services/iiif-img/7/32/759443fd-635a-45e6-a2ec-ae5dd3a562f0/full/!1024,1024/0/default.jpg	759443fd-635a-45e6-a2ec-ae5dd3a562f0	47	POLYGON((240000 475000, 260000 475000, 260000 500000, 240000 500000, 240000 475000))	6
29		Canvas 49	https://dlc.services/iiif-img/7/32/44812691-99ab-4ac2-b6b0-26381a20a6d5/full/!1024,1024/0/default.jpg	44812691-99ab-4ac2-b6b0-26381a20a6d5	48	POLYGON((260000 475000, 280000 475000, 280000 500000, 260000 500000, 260000 475000))	28
30	W	Canvas 51	https://dlc.services/iiif-img/7/32/b0f8048e-79c5-4a4a-8b52-73e0a05c797a/full/!1024,1024/0/default.jpg	b0f8048e-79c5-4a4a-8b52-73e0a05c797a	49	POLYGON((60000 450000, 80000 450000, 80000 475000, 60000 475000, 60000 450000))	70
30	O	Canvas 50	https://dlc.services/iiif-img/7/32/8526234c-8595-4e13-87ee-b38559b765bc/full/!1024,1024/0/default.jpg	8526234c-8595-4e13-87ee-b38559b765bc	50	POLYGON((80000 450000, 100000 450000, 100000 475000, 80000 475000, 80000 450000))	69
31	W	Canvas 53	https://dlc.services/iiif-img/7/32/d81a19ae-36a5-462d-9ff1-94c585944132/full/!1024,1024/0/default.jpg	d81a19ae-36a5-462d-9ff1-94c585944132	51	POLYGON((100000 450000, 120000 450000, 120000 475000, 100000 475000, 100000 450000))	86
31	O	Canvas 52	https://dlc.services/iiif-img/7/32/827330d9-f0bf-4523-a395-56377dc03506/full/!1024,1024/0/default.jpg	827330d9-f0bf-4523-a395-56377dc03506	52	POLYGON((120000 450000, 140000 450000, 140000 475000, 120000 475000, 120000 450000))	85
32	W	Canvas 55	https://dlc.services/iiif-img/7/32/14f6c748-0cdc-46d1-a1da-f746ec72fce6/full/!1024,1024/0/default.jpg	14f6c748-0cdc-46d1-a1da-f746ec72fce6	53	POLYGON((140000 450000, 160000 450000, 160000 475000, 140000 475000, 140000 450000))	10
32	O	Canvas 54	https://dlc.services/iiif-img/7/32/f7868be0-4c85-4732-bc00-51406bd115e1/full/!1024,1024/0/default.jpg	f7868be0-4c85-4732-bc00-51406bd115e1	54	POLYGON((160000 450000, 180000 450000, 180000 475000, 160000 475000, 160000 450000))	9
33	W	Canvas 57	https://dlc.services/iiif-img/7/32/80e75e45-0200-4d7e-b280-a1434d53e6cd/full/!1024,1024/0/default.jpg	80e75e45-0200-4d7e-b280-a1434d53e6cd	55	POLYGON((180000 450000, 200000 450000, 200000 475000, 180000 475000, 180000 450000))	98
33	O	Canvas 56	https://dlc.services/iiif-img/7/32/a9c0eaef-556a-42b1-92cd-36844f21d93c/full/!1024,1024/0/default.jpg	a9c0eaef-556a-42b1-92cd-36844f21d93c	56	POLYGON((200000 450000, 220000 450000, 220000 475000, 200000 475000, 200000 450000))	97
34	W	Canvas 59	https://dlc.services/iiif-img/7/32/e1db6edb-9017-4945-8b1d-1ad84259625d/full/!1024,1024/0/default.jpg	e1db6edb-9017-4945-8b1d-1ad84259625d	57	POLYGON((220000 450000, 240000 450000, 240000 475000, 220000 475000, 220000 450000))	37
