fid,edition,sheet_id,sub_sheet_id,sheet,sheet_title,remark,id,iiif_url,width,height,jp2_id
1,2,1,1,1.1,Terschelling,,1,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/11/05/97/110597427346997840993822653008536006102.jp2/info.json,8266,6610,110597427346997840993822653008536006102.jp2
2,2,1,2,1.2,Ameland,,2,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/16/82/46/168246328900255934316127517352294922259.jp2/info.json,8231,6604,168246328900255934316127517352294922259.jp2
3,2,2,1,2.1,Schiermonnikoog,,3,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/36/94/51/36945115243342237393756087358978626618.jp2/info.json,8290,6595,36945115243342237393756087358978626618.jp2
4,2,2,2,2.2,Schiermonnikoog,,4,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/63/95/54/63955480022634584735280409726046094404.jp2/info.json,8279,6603,63955480022634584735280409726046094404.jp2
5,2,3,1,3.1,Uithuizen,,5,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/53/81/48/53814865026884933828140922721832806847.jp2/info.json,8256,6595,53814865026884933828140922721832806847.jp2
6,2,3,2,3.2,Uithuizen,,6,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/85/24/06/85240657379710719811209319760234822982.jp2/info.json,8273,6612,85240657379710719811209319760234822982.jp2
7,2,3,3,3.3,Uithuizen,,7,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/12/83/35/128335182764425323548267100405898651851.jp2/info.json,8245,6622,128335182764425323548267100405898651851.jp2
8,2,4,1,4.1,Vlieland,,8,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/11/99/02/119902900461335203939951308844637310258.jp2/info.json,8262,6614,119902900461335203939951308844637310258.jp2
9,2,4,2,4.2,Vlieland,,9,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/10/66/29/106629073060866342978570549718257046059.jp2/info.json,8283,6611,106629073060866342978570549718257046059.jp2
10,2,5,1,5.1,Harlingen,,10,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/51/63/17/51631704162343258275166983748824838196.jp2/info.json,8247,6621,51631704162343258275166983748824838196.jp2
11,2,5,2,5.2,Harlingen,,11,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/12/28/90/122890342120749764537662945200200842502.jp2/info.json,8240,6623,122890342120749764537662945200200842502.jp2
12,2,5,3,5.3,Harlingen,,12,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/35/37/94/35379427539621720950129039718941287333.jp2/info.json,8291,6597,35379427539621720950129039718941287333.jp2
13,2,6,1,6.1,Leeuwarden,,13,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/16/13/10/161310564898231108670735929179976284531.jp2/info.json,8264,6621,161310564898231108670735929179976284531.jp2
14,2,6,2,6.2,Leeuwarden,,14,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/13/86/06/138606831231281031133422066393547202578.jp2/info.json,8253,6577,138606831231281031133422066393547202578.jp2
15,2,6,3,6.3,Leeuwarden,,15,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/10/30/20/103020604202896194806790792381214343220.jp2/info.json,8268,6603,103020604202896194806790792381214343220.jp2
16,2,6,4,6.4,Leeuwarden,,16,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/99/62/66/99626619327220742518110308277653545737.jp2/info.json,8240,6589,99626619327220742518110308277653545737.jp2
17,2,9,1,9.1,Helder,,17,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/67/04/48/6704484077646867805828970929912984529.jp2/info.json,8305,6628,6704484077646867805828970929912984529.jp2
18,2,10,1,10.1,Sneek,,18,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/10/80/97/108097585251290423805257317115541655683.jp2/info.json,8246,6599,108097585251290423805257317115541655683.jp2
19,2,10,2,10.2,Sneek,,19,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/86/41/26/86412678419072262026710893732919211959.jp2/info.json,8263,6598,86412678419072262026710893732919211959.jp2
20,2,10,3,10.3,Sneek,,20,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/14/78/00/147800115395921428279436601645003452232.jp2/info.json,8217,6379,147800115395921428279436601645003452232.jp2
21,2,10,4,10.4,Sneek,,21,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/42/99/24/42992406900904401255870836431344569231.jp2/info.json,8274,6647,42992406900904401255870836431344569231.jp2
22,2,11,1,11.1,Heerenveen,,22,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/55/84/89/55848984413619174984707815840820161068.jp2/info.json,8260,6590,55848984413619174984707815840820161068.jp2
23,2,11,2,11.2,Heerenveen,,23,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/13/00/23/130023881098418971611407068401616772663.jp2/info.json,8258,6592,130023881098418971611407068401616772663.jp2
24,2,11,3,11.3,Heerenveen,,24,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/23/32/33/23323347833887738802459919888884629818.jp2/info.json,8237,6614,23323347833887738802459919888884629818.jp2
25,2,11,4,11.4,Heerenveen,,25,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/10/17/00/101700815828374242273897283213566127964.jp2/info.json,8258,6575,101700815828374242273897283213566127964.jp2
26,2,12,1,12.1,Assen,,26,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/10/43/38/104338836001008890147493087005681032812.jp2/info.json,8276,6595,104338836001008890147493087005681032812.jp2
27,2,12,2,12.2,Assen,,27,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/10/70/21/107021555421192973298251508205222572196.jp2/info.json,8250,6595,107021555421192973298251508205222572196.jp2
28,2,12,3,12.3,Assen,,28,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/50/51/96/50519645863747518733439248206575095898.jp2/info.json,8281,6595,50519645863747518733439248206575095898.jp2
29,2,12,4,12.4,Assen,,29,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/16/31/91/163191349899055809679197001724551811939.jp2/info.json,8249,6606,163191349899055809679197001724551811939.jp2
30,2,13,1,13.1,Bourtange,,30,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/65/57/08/65570812730491233383366846071086429882.jp2/info.json,8245,6578,65570812730491233383366846071086429882.jp2
31,2,13,2,13.2,Bourtange,,31,https://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?IIIF=/manifestation/viewer/10/78/74/107874565847720528127920862069417496042.jp2/info.json,8271,6621,107874565847720528127920862069417496042.jp2
